,Unnamed: 0,date_id,Date,Entry Hour,Leave Hour,Time Spent Working,Day,Month
0,0,0,2024-01-01,,,,Monday,1
1,1,1,2024-01-02,,,,Tuesday,1
2,2,2,2024-01-03,,,,Wednesday,1
3,3,3,2024-01-04,,,,Thursday,1
4,4,4,2024-01-05,,,,Friday,1
5,5,5,2024-01-06,,,,Saturday,1
6,6,6,2024-01-07,,,,Sunday,1
7,7,7,2024-01-08,,,,Monday,1
8,8,8,2024-01-09,,,,Tuesday,1
9,9,9,2024-01-10,,,,Wednesday,1
10,10,10,2024-01-11,,,,Thursday,1
11,11,11,2024-01-12,,,,Friday,1
12,12,12,2024-01-13,,,,Saturday,1
13,13,13,2024-01-14,,,,Sunday,1
14,14,14,2024-01-15,,,,Monday,1
15,15,15,2024-01-16,,,,Tuesday,1
16,16,16,2024-01-17,,,,Wednesday,1
17,17,17,2024-01-18,,,,Thursday,1
18,18,18,2024-01-19,,,,Friday,1
19,19,19,2024-01-20,,,,Saturday,1
20,20,20,2024-01-21,,,,Sunday,1
21,21,21,2024-01-22,,,,Monday,1
22,22,22,2024-01-23,,,,Tuesday,1
23,23,23,2024-01-24,,,,Wednesday,1
24,24,24,2024-01-25,,,,Thursday,1
25,25,25,2024-01-26,,,,Friday,1
26,26,26,2024-01-27,,,,Saturday,1
27,27,27,2024-01-28,,,,Sunday,1
28,28,28,2024-01-29,,,,Monday,1
29,29,29,2024-01-30,,,,Tuesday,1
30,30,30,2024-01-31,,,,Wednesday,1
31,31,31,2024-02-01,,,,Thursday,2
32,32,32,2024-02-02,,,,Friday,2
33,33,33,2024-02-03,,,,Saturday,2
34,34,34,2024-02-04,,,,Sunday,2
35,35,35,2024-02-05,,,,Monday,2
36,36,36,2024-02-06,,,,Tuesday,2
37,37,37,2024-02-07,,,,Wednesday,2
38,38,38,2024-02-08,,,,Thursday,2
39,39,39,2024-02-09,,,,Friday,2
40,40,40,2024-02-10,,,,Saturday,2
41,41,41,2024-02-11,,,,Sunday,2
